H_key,Line,species,weight,estimated,num_caught,num_per_kg,SetNum,Year,Month,Day,soak_hrs,MinDepth,MaxDepth,DepthUnit,StatArea,SubArea,GeogLoc,StartLatDeg,StartLatMin,StartLongDeg,StartLongMin,TrapSpacing
9289,1,4XE,1,TRUE,2,2,26,2008,10,28,17,6,7,M,29,8,BBRKWO,49,1.481999993,122,55.57099915,100
9290,1,4XE,1.5,TRUE,3,2,27,2008,10,28,16,7,8,M,29,8,BBE,49,0.207000002,122,52.63800049,100
9292,1,4XE,0.300000012,TRUE,1,3,29,2008,10,29,23,3,5,M,29,7,TYC,49,1.126999974,123,6.370999813,100
9293,1,4XE,2,TRUE,2,1,30,2008,10,29,24,8,12,M,29,7,CPB,49,0.680999994,123,8.843999863,100
9302,1,4XE,1,TRUE,1,1,39,2008,10,30,20,20,22,M,29,6,CPN,49,0.882000029,123,11.22599983,40
9305,1,4XE,0.349999994,TRUE,1,3,42,2008,10,30,20,76,78,M,29,6,CPN,49,0.666999996,123,12.34300041,40
9388,1,4XE,0.25,TRUE,,,6,2008,3,5,2,41,43,M,13,24,Phillips Arm - near head,50,31.92499924,125,22.24500084,40
9389,3,4XE,1.5,TRUE,6,,7,2008,3,6,15,45,50,M,13,26,Phillips Arm - Shoal Bay,50,27.77000046,125,22.05999947,40
9430,4,4XE,1.5,TRUE,1,1,1,2001,11,22,18,2,12,M,12,19,NIMPKISH,50,35.70999908,127,7.210000038,100
9466,2,4XE,5,FALSE,,,61,2002,7,9,12,40,50,M,26,9,OUOUKINS,50,11,127,26.88999939,40
9486,1,4XE,2,FALSE,1,0,4,2002,4,17,26,6,14,M,24,9,STOCKHAM,49,10.11999989,125,53.59999847,100
9473,3,4XE,1,TRUE,1,1,1,2002,3,23,19,2,12,M,12,19,P.MCNEIL,50,35.68000031,127,7.099999905,100
9475,1,4XE,3,TRUE,2,1,3,2002,3,23,23,24,27,M,12,19,NIMPKISH,50,34.38000107,126,57.90999985,40
9476,3,4XE,5,TRUE,3,1,4,2002,3,24,22,3,15,M,12,19,NIMPKISH,50,34.43999863,126,58.09999847,100
9479,2,4XE,6,TRUE,3,0,7,2002,3,25,17,5,13,M,12,26,CUTTER,50,37.25999832,126,15.31000042,100
9480,1,4XE,5,TRUE,2,0,8,2002,3,26,22,8,12,M,12,26,NATIVE A,50,36.75999832,126,33.04999924,100
9481,1,4XE,3,TRUE,2,1,9,2002,3,26,20,5,15,M,12,26,DUCK C.,50,40.08000183,126,30.60000038,100
9482,1,4XE,4,TRUE,2,0,10,2002,3,26,20,5,8,M,12,26,P.BETH,50,40.90000153,126,28,100
9506,1,4TA,,FALSE,3,,2,2005,6,9,48,,,,22,0,NITINAT,,,,,
9507,1,4XE,,FALSE,1,,2,2008,2,21,24,,,,22,0,NITINAT,,,,,
9497,1,4XE,2,FALSE,2,1,7,2005,1,10,20,11,28,M,17,13,DEPART,49,12.48600006,123,57.68799973,100
9685,3,4XE,0.300000012,FALSE,1,3,17,2002,4,5,13,97,102,M,12,36,THOMPSON,50,47.70999908,126,1.370000005,40
9693,1,4XE,2,FALSE,1,0,25,2002,4,6,21,65,90,M,12,26,PORTBETH,50,38.70999908,126,23.86000061,40
9698,1,4XE,1.5,FALSE,2,1,30,2002,4,7,20,26,41,M,12,27,HOEYA SD,50,41.81000137,125,58.27999878,40
9705,2,4XE,0.300000012,FALSE,1,3,37,2002,4,7,16,63,96,M,12,28,MCDONALD,50,41.27999878,125,45.15999985,80
9707,1,4XE,3,FALSE,2,1,39,2002,4,7,14,16,42,M,12,29,GLENDALE,50,40.66999817,125,44.13000107,40
9720,1,4XE,13,FALSE,10,1,52,2002,4,9,14,58,63,M,12,22,CALL IN,50,34.27000046,126,12.22999954,40
9721,3,4XE,2,FALSE,,,53,2002,4,9,14,100,107,M,12,23,CALL IN,50,34.56000137,126,11.61999989,100
9722,3,4XE,1,FALSE,,,54,2002,4,9,26,260,260,M,13,42,GRISMOND,50,27.06999969,125,36.40000153,100
8661,1,4XE,3,TRUE,2,1,55,2008,4,17,24,12,17,M,28,10,SASKWP,49,18.26499939,123,3.766000032,40
8662,1,4XE,6,TRUE,5,1,56,2008,4,17,22,30,30,M,28,11,DANGEORG,49,18.27799988,122,59.12900162,40
8663,1,4XE,2,TRUE,3,2,57,2008,4,17,23,26,33,M,28,11,ROCHE,49,17.9090004,122,57.68000031,40
8664,1,4XE,1,TRUE,2,2,58,2008,4,17,21,16,20,M,28,11,TRANSMTN,49,17.51199913,122,56.63299942,40
8666,1,4XE,6,TRUE,7,1,60,2008,4,17,20,20,38,M,28,12,DOLARTON,49,18.85400009,122,56.73699951,40
8781,3,4XE,6,TRUE,4,1,1,2007,6,14,21,1,9,M,23,10,Pipestem Inlet,49,1.58099997,125,18.20100021,10
8786,3,4XE,2,TRUE,2,1,1,2007,6,1,21,5,7,M,23,10,Pipestem Inlet,49,1.697999954,125,14.16499996,10
8790,3,4XE,0.200000003,TRUE,1,5,1,2007,7,25,20,0,9,M,23,10,Pipestem Inlet,49,1.118000031,125,16.97400093,10
8806,1,4XE,1.5,TRUE,2,,1,2007,3,30,20,1,5,M,23,10,Pipestem Inlet,49,1.54400003,125,15.34500027,10
8858,3,4XE,7,TRUE,4,1,3,2007,5,3,21,3,5,M,23,10,Pipestem Inlet,49,1.692000031,125,14.17399979,10
8859,2,4XE,1,TRUE,1,1,3,2007,6,26,18,3,5,M,23,10,Pipestem Inlet,49,1.125,125,16.98900032,10
8816,2,4XE,5,TRUE,4,1,2,2007,6,1,22,5,6,M,23,10,Pipestem Inlet,49,1.544999957,125,15.35200024,10
8821,1,4XE,3,TRUE,3,1,2,2007,5,3,21,4,5,M,23,10,Pipestem Inlet,49,1.455000043,125,16.97699928,10
8828,2,4XE,0.100000001,TRUE,1,,2,2007,3,30,20,4,5,M,23,10,Pipestem Inlet,49,1.125,125,16.97400093,10
8828,1,4XE,2,TRUE,1,,2,2007,3,30,20,4,5,M,23,10,Pipestem Inlet,49,1.125,125,16.97400093,10
8829,3,4XE,4.400000095,TRUE,3,1,2,2007,7,26,23,2,8,M,23,10,Pipestem Inlet,49,0.870000005,125,18.36000061,10
8830,2,4XE,0.75,TRUE,1,1,2,2007,6,27,16,1,12,M,23,10,Pipestem Inlet,49,1.69599998,125,14.18599987,10
8832,3,4XE,4,TRUE,2,,2,2007,6,14,20,0,7,M,23,10,SNOWDEN,49,1.649000049,125,20.30999947,10
8841,1,4XE,10,TRUE,5,,3,2007,3,30,21,5,6,M,23,10,Pipestem Inlet,49,1.600999951,125,18.20700073,10
8837,2,4XE,4.599999905,TRUE,6,1,2,2007,6,26,18,2,6,M,23,10,Pipestem Inlet,49,1.455000043,125,16.97299957,10
8839,1,4XE,6,TRUE,6,1,2,2007,7,25,20,0,14,M,23,10,Pipestem Inlet,49,1.452000022,125,16.96299934,10
8842,2,4XE,3,TRUE,2,1,3,2007,4,13,20,3,5,M,23,10,Pipestem Inlet,49,1.768000007,125,15.35999966,10
8845,3,4XE,2,TRUE,2,1,3,2007,7,26,19,0,8,M,23,10,Pipestem Inlet,49,1.690999985,125,14.19499969,5
8847,1,4XE,6,TRUE,3,,3,2007,7,12,19,5,6,M,23,10,Pipestem Inlet,49,1.125,125,16.98699951,10
8848,3,4XE,6,TRUE,6,1,3,2007,7,11,21,3,6,M,23,10,Pipestem Inlet,49,1.455000043,125,16.97400093,10
8849,1,4XE,0,TRUE,1,,3,2007,6,28,22,4,5,M,23,10,HILLIER,49,1.883999944,125,19.4810009,10
8850,1,4XE,1.75,TRUE,1,1,3,2007,6,27,16,1,12,M,23,10,Pipestem Inlet,49,1.761000037,125,15.36600018,10
8852,1,4XE,10,TRUE,3,,3,2007,5,2,14,4,5,M,23,10,Pipestem Inlet,49,1.121999979,125,16.98699951,10
8884,5,4XE,,TRUE,1,,15,2008,1,30,24,0,2,M,23,9,Harris Point,49,0.356999993,125,18.95299911,10
8856,2,4XE,1.5,TRUE,1,1,3,2007,5,31,18,3,6,M,23,10,Pipestem Inlet,49,1.768000007,125,15.35400009,10
8856,4,4XE,4,TRUE,1,,3,2007,5,31,18,3,6,M,23,10,Pipestem Inlet,49,1.768000007,125,15.35400009,10
8856,3,4XE,1,TRUE,1,1,3,2007,5,31,18,3,6,M,23,10,Pipestem Inlet,49,1.768000007,125,15.35400009,10
8857,1,4XE,2,TRUE,2,1,3,2007,5,30,18,4,6,M,23,10,Pipestem Inlet,49,1.129999995,125,16.99200058,10
8861,2,4XE,5,TRUE,1,,4,2007,6,13,16,2,3,M,23,10,HILLIER,49,1.893000007,125,19.97599983,10
8862,1,4XE,1.5,TRUE,0,,4,2007,5,31,17,3,4,M,23,10,HILLIER,49,1.88499999,125,19.4810009,10
8863,5,4XE,5,TRUE,1,,4,2007,5,30,18,5,7,M,23,10,Pipestem Inlet,49,1.450000048,125,16.97400093,10
8863,4,4XE,3,TRUE,1,,4,2007,5,30,18,5,7,M,23,10,Pipestem Inlet,49,1.450000048,125,16.97400093,10
8867,2,4XE,,TRUE,2,,1,2008,1,26,23,0,3,M,23,10,Toquart Bay,49,1.25999999,125,21.54000092,10
8874,1,4XE,1.5,TRUE,1,1,5,2008,1,28,32,0,7,M,23,8,Sechart Channel,48,57.43399811,125,15.41300011,10
8875,1,4XE,2,TRUE,2,1,6,2008,1,28,32,0,3,M,23,8,Sechart Channel,48,57.38700104,125,15.32499981,10
8880,1,4XE,1,TRUE,1,1,11,2008,1,29,18,0,3,M,23,9,Mayne Bay,48,58.56299973,125,17.46100044,10
9181,3,4XE,,TRUE,1,,61,2008,7,23,14,-1,0,M,6,5,Curew Bay (Shallow),53,16.53100014,129,19.55999947,10
9204,2,4XE,0.300000012,TRUE,1,3,22,2008,6,1,21,0,2,M,8,4,Codville Lagoon (N),52,4.479000092,127,51.9659996,10
