year,month,day,stat_area,sub_area,num_quadrats,num_pycno,presence,bottom_time,lat,lon,depth,source
2006,NA,NA,5,NA,16,4,1,71,NA,NA,NA,abalone
2006,NA,NA,5,NA,16,1,1,27,NA,NA,NA,abalone
2006,NA,NA,5,NA,16,1,1,40,NA,NA,NA,abalone
2006,NA,NA,5,NA,16,3,1,24,NA,NA,NA,abalone
2006,NA,NA,5,NA,16,5,1,35,NA,NA,NA,abalone
2006,NA,NA,5,NA,16,5,1,44,NA,NA,NA,abalone
2006,NA,NA,5,NA,16,2,1,29,NA,NA,NA,abalone
2006,NA,NA,5,NA,16,1,1,44,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,7,1,66,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,2,1,39,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,4,1,35,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,0,0,24,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,1,1,28,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,0,0,32,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,3,1,29,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,1,1,34,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,3,1,29,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,0,0,26,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,4,1,52,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,0,0,33,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,1,1,24,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,1,1,28,NA,NA,NA,abalone
2006,NA,NA,6,NA,15,5,1,47,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,1,1,34,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,4,1,47,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,1,1,45,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,1,1,31,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,3,1,32,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,0,0,42,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,2,1,55,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,0,0,39,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,3,1,40,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,1,1,45,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,0,0,59,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,3,1,33,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,4,1,50,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,2,1,45,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,3,1,45,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,2,1,31,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,5,1,36,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,3,1,65,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,2,1,56,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,2,1,59,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,1,1,59,NA,NA,NA,abalone
2006,NA,NA,6,NA,16,2,1,31,NA,NA,NA,abalone
2006,NA,NA,7,NA,16,4,1,32,NA,NA,NA,abalone
2006,NA,NA,7,NA,16,8,1,41,NA,NA,NA,abalone
2006,NA,NA,7,NA,16,1,1,23,NA,NA,NA,abalone
2006,NA,NA,7,NA,16,0,0,25,NA,NA,NA,abalone
2006,NA,NA,7,NA,16,0,0,30,NA,NA,NA,abalone
2006,NA,NA,7,NA,16,0,0,47,NA,NA,NA,abalone
2006,NA,NA,7,NA,16,0,0,37,NA,NA,NA,abalone
2006,NA,NA,7,NA,16,1,1,30,NA,NA,NA,abalone
2006,NA,NA,7,NA,16,0,0,25,NA,NA,NA,abalone
2006,NA,NA,7,NA,16,0,0,52,NA,NA,NA,abalone
2006,NA,NA,7,NA,16,0,0,27,NA,NA,NA,abalone
2006,NA,NA,7,NA,16,0,0,37,NA,NA,NA,abalone
2006,NA,NA,7,NA,16,0,0,58,NA,NA,NA,abalone
2006,NA,NA,7,NA,16,0,0,47,NA,NA,NA,abalone
2006,NA,NA,7,NA,16,0,0,27,NA,NA,NA,abalone
2006,NA,NA,7,NA,16,0,0,32,NA,NA,NA,abalone
2006,NA,NA,7,NA,16,1,1,30,NA,NA,NA,abalone
2006,NA,NA,7,NA,16,0,0,32,NA,NA,NA,abalone
2006,NA,NA,7,NA,16,0,0,37,NA,NA,NA,abalone
2006,NA,NA,7,NA,16,0,0,31,NA,NA,NA,abalone
2006,NA,NA,7,NA,16,0,0,52,NA,NA,NA,abalone
2006,NA,NA,7,NA,15,2,1,50,NA,NA,NA,abalone
2006,NA,NA,7,NA,16,3,1,51,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,2,1,40,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,2,1,37,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,1,1,26,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,0,0,37,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,6,1,23,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,2,1,25,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,4,1,28,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,1,1,39,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,1,1,18,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,1,1,20,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,5,1,20,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,0,0,30,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,0,0,29,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,7,1,40,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,0,0,23,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,1,1,17,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,3,1,19,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,3,1,45,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,2,1,40,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,5,1,24,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,2,1,49,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,1,1,37,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,2,1,50,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,0,0,23,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,0,0,30,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,2,1,35,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,2,1,25,NA,NA,NA,abalone
2007,NA,NA,2,NA,16,0,0,29,NA,NA,NA,abalone
